"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
6.,"Aveeno Skin Relief Soothing Shampoo, With Soothing Oat, Suitable For very dry sensitive Scalp, Suitable for Thin & Fragile Hair, Soap Free, High Tolerance Formula, 300ml","B017TFCRHC","https://www.amazon.co.uk/dp/B017TFCRHC?psc=1","https://m.media-amazon.com/images/I/51xlwpwxr+L._AC_SY355_.jpg","Aveeno",6.67,"2,818","2,818","2,000","25,599","25,598.98",169,"1,472","AMZ",3.2,10,4.5,"4,874",6,7,"Amazon","Beauty","Extra Large Envelope","AMZ","17.30 x 4.10 x 8.30 cm",0.37,"N/A","Nov 10, 2015",,"No",127,"Amazon"
7.,"E45 Dry Scalp Shampoo for Very Dry, Itchy and Flaky Scalp - Anti Dandruff Shampoo with hydrating Vitamin B5 – Free from fragrance, soap and perfume 200ml","B001RYUCQU","https://www.amazon.co.uk/dp/B001RYUCQU?psc=1","https://m.media-amazon.com/images/I/51HBv-3f1lL._AC_SY355_.jpg","E45",4.16,"8,561","8,561","7,000","49,943.42","49,943.42",153,289,"AMZ",2.86,4,4.5,"6,808",6,42,"Amazon","Beauty","Large Envelope","AMZ","15.50 x 3.30 x 6.40 cm",0.23,"N/A","Aug 21, 2008",,"No",214,"Amazon"
17.,"Head & Shoulders DermaXPro Sensitive Care Anti Dandruff Shampoo 300ml with Manuka Honey and Ceramide Complex. Gently Moisturises Dry Scalp and Helps Reinforce the Skin Barrier for Flake-Free Hair","B0D1Y75D35","https://www.amazon.co.uk/dp/B0D1Y75D35?psc=1","https://m.media-amazon.com/images/I/714kcL0C4hL._AC_SY355_.jpg","Head & Shoulders",2.5,"2,463","2,487","2,000","9,692.13","9,789.54",195,"1,325","AMZ",2.78,2,4.6,555,7,25,"Amazon","Beauty","Large Envelope","AMZ","19.20 x 3.70 x 6.50 cm",0.34,"N/A","Apr 17, 2024",,"No",26,"Amazon"
18.,"Aveeno Scalp Soothing Haircare Clarify & Shine Shampoo, Apple Cider Vinegar Blend, for All Hair Types, Soothes Dry, Itchy & Flaky Scalp, Clinically Proven, Sulfate Free, 300ml","B0BQTMHNW9","https://www.amazon.co.uk/dp/B0BQTMHNW9?psc=1","https://m.media-amazon.com/images/I/61Zo4uoLF8L._AC_SY355_.jpg","Aveeno",3.98,"14,477","14,477","10,000","79,043.26","79,043.26",175,106,"AMZ",2.9,9,4.5,"3,643",9,34,"Amazon","Beauty","Extra Large Envelope","AMZ","17.40 x 4.10 x 8.40 cm",0.34,"N/A","Feb 1, 2023",,"No",40,"Amazon"
19.,"L’Oréal Professionnel Scalp Advanced Anti-Discomfort Shampoo, For Itchy and Dry Scalps, Deep Scalp Treatment","B0BQMYDXDH","https://www.amazon.co.uk/dp/B0BQMYDXDH?psc=1","https://m.media-amazon.com/images/I/51mz9+ev-pL._AC_SX342_.jpg","L'Oréal Professionnel Paris",12.94,490,408,300,"8,203.78","6,122.6",108,"8,474","GB",5.31,13,4.4,622,6,7,"Hobcart","Beauty","Extra Large Envelope","FBA","14.20 x 5.80 x 6.00 cm",0.35,"N/A","Feb 22, 2023",,"No",40,"Hobcart"
24.,"MooGoo Milk Shampoo - For Itchy, Dry, Sensitive Scalps Prone to Eczema & Psoriasis – Sulphate-Free, Silicone-Free, Paraben-Free - Natural Gentle Formula – 500 ml","B00NJRTVFG","https://www.amazon.co.uk/dp/B00NJRTVFG?psc=1","https://m.media-amazon.com/images/I/61HWUPDa32L._AC_SY355_.jpg","MooGoo",11.25,"1,473","1,473","1,000","19,883.72","19,883.75",161,"3,511","GB",5.12,2,4.4,746,9,7,"MooGoo EU Ltd","Beauty","Small Parcel","FBA","17.30 x 7.80 x 8.20 cm",0.58,"N/A","Feb 29, 2016",,"No",124,"MooGoo EU Ltd"
25.,"Nizoral Scalp Soothing Itchy & Sensitive Shampoo, 24 Hour Soothing Care, Ongoing Relief for Dry, Itchy and Flaky Scalps, For Healthy Looking, Shiny Hair, Contains Aloe Vera, 1 x 200ml","B0CW9YBY2T","https://www.amazon.co.uk/dp/B0CW9YBY2T?psc=1","https://m.media-amazon.com/images/I/618xTrQ36-L._AC_SY355_.jpg","Nizoral",5.32,"10,249","3,552","3,000","62,585.72","21,833.88",183,168,"AMZ",3.2,11,4.3,"1,781",8,23,"Amazon","Beauty","Extra Large Envelope","AMZ","16.60 x 4.80 x 7.50 cm",0.23,"N/A","Feb 23, 2024",,"No",28,"Amazon"
26.,"Neutrogena T/Gel Anti Dandruff Shampoo for Sensitive Scalp (1x 150ml), Daily Anti-Dandruff Shampoo with Salicylic Acid, Fragrance-Free, for Sensitive Skin to Fight Dandruff from First Wash","B08S8DKWWP","https://www.amazon.co.uk/dp/B08S8DKWWP?psc=1","https://m.media-amazon.com/images/I/71jFT8PmiXL._AC_SY355_.jpg","Neutrogena",3.75,"2,639","2,639","2,000","14,461.15","14,461.16",188,"1,427","AMZ",2.82,12,4.6,"1,487",7,9,"Amazon","Beauty","Large Envelope","AMZ","16.30 x 3.60 x 5.60 cm",0.14,"N/A","Jan 6, 2021",,"No",65,"Amazon"
27.,"Faith In Nature Natural Fragrance Free Shampoo, Sensitive, Vegan & Cruelty Free, No SLS or Parabens, for All Hair Types, 400ml","B008BILQQ0","https://www.amazon.co.uk/dp/B008BILQQ0?psc=1","https://m.media-amazon.com/images/I/61l+o1kEvFL._AC_SY355_.jpg","FAITH IN NATURE",7,"8,669",587,"1,000","47,292.91","4,521.31",126,40,"AMZ",3.71,2,4.5,"13,542",7,"2,756","Amazon","Beauty","Small Parcel","AMZ","20.00 x 9.10 x 11.40 cm",0.43,"N/A","Jun 14, 2012",,"No",168,"Amazon"
31.,"Wella Professionals INVIGO SCALP BALANCE Sensitive Scalp - Gentle Cleansing Shampoo - Dry Scalp Shampoo For Sensitive Scalps - Fragrance Free","B0CGRRDVZD","https://www.amazon.co.uk/dp/B0CGRRDVZD?psc=1","https://m.media-amazon.com/images/I/61PSUuWMNiL._AC_SX342_.jpg","Wella Professionals",15.72,145,93,200,"2,510.79","1,783.13",141,"2,472","GB",5.98,13,4.6,188,13,9,"Hair Products Online Ltd","Baby Products","Small Parcel","MFN","25.30 x 8.30 x 8.50 cm",1.1,"N/A","Sep 22, 2023",,"No",33,"Hair Products Online Ltd"
